annotation_id,submission_number,field,label
K141480:output,K141480,output,SEGMENTATION_OR_LOCALIZATION
K141480:user,K141480,user,OTHER_CLINICIAN
K141480:user,K141480,user,OTHER_PHYSICIAN
K141480:setting,K141480,setting,DIAGNOSTIC_INTERPRETATION
K141480:setting,K141480,setting,MONITORING
K141480:action,K141480,action,INTERPRETATION_OR_DIAGNOSIS
K141480:action,K141480,action,MONITORING_OR_FOLLOW_UP
K141480:action,K141480,action,WORKFLOW_OR_DOCUMENTATION
K142037:input,K142037,input,MEDICAL_IMAGE
K142037:output,K142037,output,CLASSIFICATION_OR_DIAGNOSIS
K142037:output,K142037,output,MEASUREMENT_OR_QUANTIFICATION
K142037:user,K142037,user,RADIOLOGIST
K142037:setting,K142037,setting,OTHER
K142037:action,K142037,action,OTHER
K142037:action,K142037,action,WORKFLOW_OR_DOCUMENTATION
K142512:input,K142512,input,PHYSIOLOGICAL_SIGNAL
K142512:output,K142512,output,MEASUREMENT_OR_QUANTIFICATION
K142512:user,K142512,user,OTHER_CLINICIAN
K142512:setting,K142512,setting,HOME_OR_CONSUMER
K142512:setting,K142512,setting,MONITORING
K142512:setting,K142512,setting,OTHER
K142512:action,K142512,action,MONITORING_OR_FOLLOW_UP
K142918:input,K142918,input,CLINICAL_TABULAR_OR_TEXT
K142918:output,K142918,output,RECOMMENDATION_OR_PLANNING
K142918:user,K142918,user,OTHER_CLINICIAN
K142918:user,K142918,user,OTHER_PHYSICIAN
K142918:setting,K142918,setting,MONITORING
K142918:setting,K142918,setting,OTHER
K142918:action,K142918,action,MONITORING_OR_FOLLOW_UP
K142918:action,K142918,action,THERAPY_DOSE_OR_DEVICE_CONTROL
K143643:input,K143643,input,PHYSIOLOGICAL_SIGNAL
K143643:output,K143643,output,CLASSIFICATION_OR_DIAGNOSIS
K143643:output,K143643,output,MEASUREMENT_OR_QUANTIFICATION
K143643:user,K143643,user,OTHER_CLINICIAN
K143643:user,K143643,user,OTHER_PHYSICIAN
K143643:setting,K143643,setting,DIAGNOSTIC_INTERPRETATION
K143643:setting,K143643,setting,OTHER
K143643:action,K143643,action,INTERPRETATION_OR_DIAGNOSIS
K152733:input,K152733,input,MEDICAL_IMAGE
K152733:output,K152733,output,MEASUREMENT_OR_QUANTIFICATION
K152733:user,K152733,user,OTHER_CLINICIAN
K152733:setting,K152733,setting,DIAGNOSTIC_INTERPRETATION
K152733:action,K152733,action,INTERPRETATION_OR_DIAGNOSIS
K153351:input,K153351,input,MEDICAL_IMAGE
K153351:output,K153351,output,MEASUREMENT_OR_QUANTIFICATION
K153351:output,K153351,output,SEGMENTATION_OR_LOCALIZATION
K153351:user,K153351,user,OTHER_CLINICIAN
K153351:user,K153351,user,RADIOLOGIST
